model_key,track,reporting_phase,random_seed,status,failure_reason,ineligibility_reason,prediction_micro_count,eligible
gradient_boosting,seen_entity,H00,29,SUCCESS,,,5958,True
gradient_boosting,seen_entity,H00,43,SKIPPED,,ZERO_HISTORY_WITHOUT_STATIC_PROFILE,1,False
gradient_boosting,seen_entity,H00,43,SUCCESS,,,5958,True
gradient_boosting,seen_entity,H01_02,17,SUCCESS,,,316,True
gradient_boosting,seen_entity,H01_02,29,SUCCESS,,,316,True
gradient_boosting,seen_entity,H01_02,43,SUCCESS,,,316,True
gradient_boosting,seen_entity,H03_05,17,SUCCESS,,,355,True
gradient_boosting,seen_entity,H03_05,29,SUCCESS,,,355,True
gradient_boosting,seen_entity,H03_05,43,SUCCESS,,,355,True
gradient_boosting,seen_entity,H06_12,17,SUCCESS,,,616,True
gradient_boosting,seen_entity,H06_12,29,SUCCESS,,,616,True
gradient_boosting,seen_entity,H06_12,43,SUCCESS,,,616,True
gradient_boosting,seen_entity,H13_PLUS,17,SUCCESS,,,7652,True
gradient_boosting,seen_entity,H13_PLUS,29,SUCCESS,,,7652,True
gradient_boosting,seen_entity,H13_PLUS,43,SUCCESS,,,7652,True
gradient_boosting,unseen_entity,H00,17,SKIPPED,,ZERO_HISTORY_WITHOUT_STATIC_PROFILE,1,False
gradient_boosting,unseen_entity,H00,17,SUCCESS,,,901,True
gradient_boosting,unseen_entity,H00,29,SKIPPED,,ZERO_HISTORY_WITHOUT_STATIC_PROFILE,1,False
gradient_boosting,unseen_entity,H00,29,SUCCESS,,,901,True
gradient_boosting,unseen_entity,H00,43,SKIPPED,,ZERO_HISTORY_WITHOUT_STATIC_PROFILE,1,False
gradient_boosting,unseen_entity,H00,43,SUCCESS,,,901,True
gradient_boosting,unseen_entity,H01_02,17,SUCCESS,,,57,True
gradient_boosting,unseen_entity,H01_02,29,SUCCESS,,,57,True
gradient_boosting,unseen_entity,H01_02,43,SUCCESS,,,57,True
gradient_boosting,unseen_entity,H03_05,17,SUCCESS,,,59,True
gradient_boosting,unseen_entity,H03_05,29,SUCCESS,,,59,True
gradient_boosting,unseen_entity,H03_05,43,SUCCESS,,,59,True
gradient_boosting,unseen_entity,H06_12,17,SUCCESS,,,81,True
gradient_boosting,unseen_entity,H06_12,29,SUCCESS,,,81,True
gradient_boosting,unseen_entity,H06_12,43,SUCCESS,,,81,True
gradient_boosting,unseen_entity,H13_PLUS,17,SUCCESS,,,1151,True
gradient_boosting,unseen_entity,H13_PLUS,29,SUCCESS,,,1151,True
gradient_boosting,unseen_entity,H13_PLUS,43,SUCCESS,,,1151,True
lightgbm,seen_entity,H00,17,SKIPPED,,ZERO_HISTORY_WITHOUT_STATIC_PROFILE,1,False
lightgbm,seen_entity,H00,17,SUCCESS,,,5958,True
lightgbm,seen_entity,H00,29,SKIPPED,,ZERO_HISTORY_WITHOUT_STATIC_PROFILE,1,False
lightgbm,seen_entity,H00,29,SUCCESS,,,5958,True
lightgbm,seen_entity,H00,43,SKIPPED,,ZERO_HISTORY_WITHOUT_STATIC_PROFILE,1,False
lightgbm,seen_entity,H00,43,SUCCESS,,,5958,True
lightgbm,seen_entity,H01_02,17,SUCCESS,,,316,True
lightgbm,seen_entity,H01_02,29,SUCCESS,,,316,True
lightgbm,seen_entity,H01_02,43,SUCCESS,,,316,True
lightgbm,seen_entity,H03_05,17,SUCCESS,,,355,True
lightgbm,seen_entity,H03_05,29,SUCCESS,,,355,True
lightgbm,seen_entity,H03_05,43,SUCCESS,,,355,True
lightgbm,seen_entity,H06_12,17,SUCCESS,,,616,True
lightgbm,seen_entity,H06_12,29,SUCCESS,,,616,True
lightgbm,seen_entity,H06_12,43,SUCCESS,,,616,True
lightgbm,seen_entity,H13_PLUS,17,SUCCESS,,,7652,True
lightgbm,seen_entity,H13_PLUS,29,SUCCESS,,,7652,True
lightgbm,seen_entity,H13_PLUS,43,SUCCESS,,,7652,True
lightgbm,unseen_entity,H00,17,SKIPPED,,ZERO_HISTORY_WITHOUT_STATIC_PROFILE,1,False
lightgbm,unseen_entity,H00,17,SUCCESS,,,901,True
lightgbm,unseen_entity,H00,29,SKIPPED,,ZERO_HISTORY_WITHOUT_STATIC_PROFILE,1,False
lightgbm,unseen_entity,H00,29,SUCCESS,,,901,True
lightgbm,unseen_entity,H00,43,SKIPPED,,ZERO_HISTORY_WITHOUT_STATIC_PROFILE,1,False
lightgbm,unseen_entity,H00,43,SUCCESS,,,901,True
lightgbm,unseen_entity,H01_02,17,SUCCESS,,,57,True
lightgbm,unseen_entity,H01_02,29,SUCCESS,,,57,True
lightgbm,unseen_entity,H01_02,43,SUCCESS,,,57,True
lightgbm,unseen_entity,H03_05,17,SUCCESS,,,59,True
lightgbm,unseen_entity,H03_05,29,SUCCESS,,,59,True
